aṅgulamāna,,
aṅgulimātra,,
aṅguliṣaṅga,,
aṅguṣṭhamātraka,ikā,
aṅguṣṭhamātraka,ī,
aṅguṣṭhamātra,ī,
aṅgya,,
aṅghripāna,,
aṅghryavanejana,ī,
acakra,,
acakṣurviṣaya,,
acakṣuṣka,,
acaṇḍa,,
acatura,,
acandra,,
acapala,,
acaraṇīya,,
acarama,,
acara,,
acarmaka,,
acākrika,,
acita,,
acitta,,
acitra,,
acintita,,
acintyarūpa,,
acintya,,
aciramṛta,,
acira,,
acetana,,
acetāna,,
aceṣṭa,,
acchandaska,,
accha,,
acchāya,,
acchāvākīya,,
acchidyamāna,,
acchidra,,
acchidroktha,,
acchinnaparṇa,,
acchinna,,
accheta,,
acchetya,,
acchedika,,
acchedya,,
acchera,,
acchoda,,
acyuta,,
ajakāva,,
ajaghanya,,
ajaḍa,,
ajana,,
ajanta,,
ajanya,,
ajapada,,
ajapāda,,
ajamukha,,
ajaya,,
ajayya,,
ajara,,
ajarāmara,,
ajarya,,
ajasra,,
aja,,
ajākṛpāṇīya,,
ajāgara,,
ajātapakṣa,,
ajātavyañjana,,
ajāta,,
ajātānuśaya,,
ajāpālaka,,
ajāyamāna,,
ajita,,
ajitendriya,,
ajira,,
ajirīya,,
ajihmaga,,
ajihma,,
ajihmāgra,,
ajihvaka,,
ajihva,,
ajīta,,
ajīrṇa,,
ajīvana,,
ajīva,,
ajugupsita,,
ajuṣṭa,,
ajetavya,,
ajeya,,
ajoṣya,,
ajña,,
ajñātaka,,
ajñātakulaśīla,,
ajñātaketa,,
ajñātabhukta,,
ajñātavāsa,,
ajñātaśīla,,
ajñāta,,
ajñānakṛta,,
ajñāna,,
ajñeya,,
ajyeṣṭha,,
ajrya,,
añcitapattrākṣa,,
añcitalāṅgūla,,
añcita,,
añjanakeśa,ī,
añjalīkṛta,,
añjasa,,
añjasāyana,ī,
añjasīna,,
añjiva,,
añjisaktha,,
añjyeta,,
añśera,,
aṭaka,,
aṭana,,
