aghamarṣaṇa,,
aghamāra,,
agharma,,
aghaśaṃsa,,
aghaśaṃsin,ī,
agha,,
aghātin,ī,
aghātuka,,
aghārin,ī,
aghāśva,,
aghāsaka,,
aghūrṇa,,
aghṛṇa,,
aghṛṇin,ī,
aghoraghoratara,,
aghora,,
aghoṣa,,
aghaughamarṣaṇa,,
aghreya,,
aṅkagata,,
aṅkana,,
aṅkita,,
aṅkin,ī,
aṅkurita,,
aṅkuśita,,
aṅkuśin,ī,
aṅkya,,
aṅgaja,,
aṅgajāta,,
aṅgajvara,,
aṅgadin,ī,
aṅgadīya,,
aṅgabheda,,
aṅgaruha,,
aṅgareja,,
aṅgavāhaka,,
aṅgahīna,,
aṅga,,
aṅgānukūla,,
aṅgārakita,,
aṅgārita,,
aṅgārin,ī,
aṅgārīya,,
aṅgin,ī,
aṅgirastama,,
aṅgīkṛta,,
aṅgīya,,
aṅgulapramāṇa,,
aṅgulamāna,,
aṅgulimātra,,
aṅguliṣaṅga,,
aṅguṣṭhamātraka,ikā,
aṅguṣṭhamātraka,ī,
aṅguṣṭhamātra,ī,
aṅgoṣin,ī,
aṅgya,,
aṅghripāna,,
aṅghryavanejana,ī,
acakra,,
acakṣurviṣaya,,
acakṣuṣka,,
acaṇḍa,,
acatura,,
acandra,,
acapala,,
acaraṇīya,,
acarama,,
acara,,
acarmaka,,
acākrika,,
acita,,
acitta,,
acitra,,
acintita,,
acintyarūpa,,
acintya,,
aciramṛta,,
acira,,
acetana,,
acetāna,,
aceṣṭa,,
acchandaska,,
accha,,
acchāya,,
acchāvākīya,,
acchidyamāna,,
acchidra,,
acchidroktha,,
acchinnaparṇa,,
acchinna,,
accheta,,
acchetya,,
acchedika,,
acchedya,,
acchera,,
acchoda,,
acyāvin,ī,
acyuta,,
ajakāva,,
ajaghanya,,
ajaḍa,,
ajana,,
ajanta,,
ajanya,,
ajapada,,
ajapāda,,
ajamukha,,
ajaya,,
ajayya,,
ajara,,
ajarāmara,,
ajarya,,
ajasra,,
aja,,
ajākṛpāṇīya,,
ajāgara,,
ajātapakṣa,,
ajātavyañjana,,
ajāta,,
ajātānuśaya,,
ajāpālaka,,
ajāyamāna,,
ajita,,
ajitendriya,,
ajinavāsin,ī,
ajira,,
ajirīya,,
ajihmaga,,
ajihma,,
ajihmāgra,,
ajihvaka,,
ajihva,,
ajīta,,
ajīrṇa,,
ajīrṇin,ī,
ajīvana,,
ajīva,,
ajugupsita,,
ajuṣṭa,,
ajetavya,,
ajeya,,
ajoṣya,,
ajña,,
ajñātaka,,
ajñātakulaśīla,,
ajñātaketa,,
ajñātabhukta,,
ajñātavāsa,,
ajñātaśīla,,
ajñāta,,
ajñānakṛta,,
ajñāna,,
ajñānin,ī,
ajñeya,,
ajyeṣṭha,,
ajrya,,
ajvin,ī,
añcitapattrākṣa,,
añcitalāṅgūla,,
añcita,,
añjanakeśa,ī,
añjalīkṛta,,
añjasa,,
añjasāyana,ī,
añjasīna,,
añjiva,,
añjisaktha,,
añjyeta,,
añśera,,
aṭaka,,
aṭana,,
aṭala,,
aṭāṭyamāna,,
aṭṭa,,
aṇaka,,
aṇakīya,,
aṇiṣṭha,,
aṇīyaska,,
aṇuka,,
aṇutara,,
aṇumātra,,
aṇumātrika,,
aṇuvādin,ī,
aṇṭhita,,
aṇḍaja,,
aṇḍara,ī,
aṇḍākāra,,
atajjña,,
ataṭa,,
atathocita,,
atathya,,
atadarha,,
ataddhita,,
atantra,,
atandra,,
atandrita,,
atandrin,ī,
atapaska,,
atapasya,,
atapta,,
atapyamāna,,
atamāviṣṭa,,
atamisra,,
atara,,
ataritra,,
atarka,,
atarkita,,
atarkitopapanna,,
atarkya,,
atalasparśa,,
atasāyya,,
ataskara,,
atasthāna,,
atāpasa,,
atikaṭhora,,
atikatha,,
atikalyāṇa,ī,
atikaśa,,
atikānta,,
atikāya,,
atikiriṭa,,
atikirīṭa,,
atikutsita,,
atikulva,,
atikṛcchra,,
atikṛta,,
atikṛtārtha,,
atikṛśa,,
atikṛṣṇa,,
atikramaṇa,ī,
atikramaṇīya,,
atikramin,ī,
atikrāntaniṣedha,,
atikrānta,,
atikrāntātikrānta,,
atikrāmaka,,
atikruddha,,
atikṣipta,,
atikhaṭva,,
atikhara,,
atigaṇḍa,,
atigata,,
atigandha,,
atigarvita,,
atigava,,
atigahana,,
atiga,,
atigāḍha,,
atiguṇa,,
atigupta,,
atighnya,,
aticaṇḍa,,
aticara,,
aticārin,ī,
aticira,,
atijana,,
atijara,,
atijala,,
atijava,,
atijāgara,,
atijāta,,
atijīrṇa,,
atijīva,,
atitata,,
atitapasvin,ī,
atitārin,ī,
atitikṣamāṇa,,
atitīkṣṇa,,
atitīvra,,
atitṛṇṇa,,
atitṛṣṇa,,
atithideva,,
atithidharmin,ī,
atithin,ī,
atithyartha,,
atidagdha,,
atidantura,,
atidarpa,,
atidarśin,ī,
atidāruṇa,,
atidiṣṭa,,
atidīrgha,,
atiduḥkhita,,
atiduḥsaha,,
atidurgata,,
atidurdharṣa,,
atidurlambha,,
atiduṣkara,,
atiduṣkhita,,
atidūra,,
atideśa,,
atidvaya,,
atidhavala,,
atināṣṭra,,
atinidra,,
atinipuṇa,,
atinīca,,
atipatita,,
atipada,,
atipanna,,
atipara,,
atiparokṣa,,
atipātita,,
atipātin,ī,
atipātya,,
atipāraya,,
atipūta,,
atipeśala,,
atiprakāśa,,
atipramāṇa,,
atipraviddha,,
atipravṛddha,,
atipraśnya,,
atiprasiddha,,
atiprasṛta,,
atiprāṇapriya,,
atiprauḍhayauvana,,
atiprauḍha,,
atibala,,
atibālaka,,
atibībhatsa,,
atibodhisattva,,
atibhārabhūta,,
atibhīṣaṇa,,
atibhṛta,,
atimaṅgalya,,
atimartya,,
atimaryāda,,
atimātra,,
atimānita,,
atimānin,ī,
atimānuṣa,,
atimāya,,
atimāruta,,
atimāla,,
atimita,,
atimirmira,,
atimukta,,
atimemiṣa,,
atimokṣin,ī,
atiyaśa,,
atirakta,,
atirātra,,
atirikta,,
atiriktāṅga,,
atirucira,,
atirūpa,,
atirekin,ī,
atiromaśa,,
atilamba,,
atilubdha,,
atilulita,,
atilobha,,
atilomaśa,,
atiloma,,
atilohita,,
ativakra,,
ativartin,ī,
ativartula,,
ativādin,ī,
ativāhika,,
ativāhya,,
ativikaṭa,,
atividdha,,
ativipina,,
ativilambin,ī,
ativiśrabdha,,
ativiṣa,,
ativṛṃhita,,
ativṛddha,,
ativṛṣṭihata,,
ativela,,
ativaiśasa,,
ativyasta,,
ativyādhin,ī,
ativyādhya,,
ativyāpta,,
atiśakta,,
atiśakra,,
atiśayana,ī,
atiśaya,,
atiśayita,,
atiśayin,ī,
atiśasta,,
atiśastra,,
atiśākvara,,
atiśāta,,
atiśāyin,ī,
atiśiṣṭa,,
atiśukra,,
atiśukla,,
atiśobhana,,
atiśreṣṭha,,
atiślakṣṇa,,
atiśva,ī,
atiṣakta,,
atiṣita,,
atisaṃtapta,,
atisaṃdheya,,
atisaṃskṛta,,
atisandhita,,
atisamartha,,
atisamīpa,,
atisarva,,
atisāṃvatsara,,
atisārakin,ī,
atisārin,ī,
atisujana,,
atisundara,,
atisulabha,,
atisuhita,,
atisṛjya,,
atisauparṇa,,
atisaurabha,,
atisthira,,
atisthūla,,
atisnigdha,,
atisphira,,
atisrāvita,,
atisruta,,
atisvastha,,
atisvārya,,
atisvinna,,
atihata,,
atihita,,
atihrasva,,
atīkṣṇa,,
atītanauka,,
atīta,,
atīndriya,,
atīrṇa,,
atīvra,,
atīsārakin,ī,
atīsārin,ī,
atuṅga,,
atunda,,
atura,,
atula,,
atulya,,
atuṣa,,
atūrta,,
atṛdila,,
atṛpa,,
atṛpta,,
atṛṣita,,
atṛṣya,,
atejaska,,
atejasvin,ī,
atejomaya,,
ataijasa,,
atailapūra,,
atonya,,
atoṣaṇīya,,
attavya,,
atyakṣara,,
atyagnisomārka,,
atyagra,,
atyaṅkuśa,,
atyaṅgula,,
