72,dvāsaptati;dvisaptati,dvāsaptata;dvāsaptatitama;dvisaptata;dvisaptatitama
73,trayaḥsaptati;trisaptati,trayaḥsaptata;trayaḥsaptatitama;trisaptata;trisaptatitama
74,catuḥsaptati,catuḥsaptata;catuḥsaptatitama
75,pañcasaptati,pañcasaptata;pañcasaptatitama
76,ṣaṭsaptati,ṣaṭsaptata;ṣaṭsaptatitama
77,saptasaptati,saptasaptata;saptasaptatitama
78,aṣṭāsaptati,aṣṭāsaptata;aṣṭāsaptatitama
79,navasaptati;ūnāśīti;ekonāśīti;ekānnāśīti,navasaptata;navasaptatitama
80,aśīti,aśītitama
81,ekāśīti,ekāśīta;ekāśītitama
82,dvyaśīti,dvyaśīta;dvyaśītitama
83,tryaśīti,tryaśīta;tryaśītitama
84,caturaśīti,caturaśīta;caturaśītitama
85,pañcāśīti,pañcāśīta;pañcāśītitama
86,ṣaḍaśīti,ṣaḍaśīta;ṣaḍaśītitama
87,saptāśīti,saptāśīta;saptāśītitama
88,aṣṭāśīti,aṣṭāśīta;aṣṭāśītitama
89,navāśīti;ūnanavati;ekonanavati;ekānnanavati,navāśīta;navāśītitama
90,navati,navatitama
91,ekanavati,ekanavata;ekanavatitama
92,dvānavati;dvinavati,dvānavata;dvānavatitama;dvinavata;dvinavatitama
93,trayonavati;trinavati,trayonavata;trayonavatitama;trinavata;trinavatitama
94,caturnavati,caturnavata;caturnavatitama
95,pañcanavati,pañcanavata;pañcanavatitama
96,ṣaṇṇavati,ṣaṇṇavata;ṣaṇṇavatitama
97,saptanavati,saptanavata;saptanavatitama
98,aṣṭānavati,aṣṭānavata;aṣṭānavatitama
99,navanavati;ūnaśata;ekonaśata;ekānnaśata,navanavata;navanavatitama
100,śata,śatatama
101,ekaśata;ekottaraśata;ekottara śata;ekādhikaśatam;ekādhika śatam,ekāśata;ekāśatatama;ekottaraśatatama;ekottara śatatama;ekādhikaśatatama;ekādhika śatatama
102,dviśata;dvyuttaraśata;dvyuttara śata;dvyadhikaśata;dvyadhika śata,dviśata;dviśatatama;dvyuttaraśatatama;dvyuttara śatatama;dvyadhikaśatatama;dvydhika śatatama
103,triśata;tryuttaraśata;tryuttara śata;tryadhikaśata;tryadhika śata,triśata;triśatatama;tryuttaraśatatama;tryuttara śatatama;tryadhikaśata;tryadhikaśatatama;tryadhika śata;tryadhika śatatama
112,dvādaśaśata;dvādaśottaraśata;dvādaśottara śata;dvādaśādhikaśata;dvādaśādhika śata,dvādaśaśata;dvādaśaśatatama;dvādaśottaraśatatama;dvādaśottara śatatama;dvādaśādhikaśatatama;dvādaśādhika śatatama
120,viṃśatiśata;viṃśatyuttaraśata;viṃśatyuttara śata;viṃśatyadhikaśata;viṃśatyadhika śata,viṃśatiśata;viṃśatiśatatama;viṃśatyuttaraśatatama;viṃśatyuttara śatatama;viṃśatyadhikaśatatama;viṃśatyadhika śatatama
130,triṃśacchata;triṃśaduttaraśata;triṃśaduttara śata;triṃśadadhikaśata;triṃśadadhika śata,triṃśacchata;triṃśacchatatama;triṃśaduttaraśatatama;triṃśaduttara śatatama;triṃśadadhikaśatatama;triṃśadadhika śatatama
200,dviśata;dvi śata,dviśata;dviśatatama;dvitīya śatatama
