m:a:aṃśa
m:a:aṃśaka
m:a:aṃśasvara
m:a:aṃśāṃśa
m:a:aṃśudhara
m:a:aṃśudhāraya
m:a:aṃśula
m:a:aṃśuvāṇa
m:a:aṃśuvimarda
m:a:aṃśuhasta
m:a:aṃsa
m:a:aṃsakūṭa
m:a:aṃsapīṭha
m:a:aṃsabhāra
m:a:aṃsebhāra
m:a:aṃsoccaya
m:a:aṃhripa
m:a:aṃhriskandha
m:a:akaca
m:a:akaṭuphala
m:a:akaniṣṭha
m:a:akaniṣṭhaga
m:a:akaniṣṭhapa
m:a:akabara
m:a:akabbara
m:a:akampana
m:a:akampita
m:a:akartana
m:a:akarmabhoga
m:a:akalmaṣa
m:a:akalmāṣa
m:a:akavara
m:a:akāra
m:a:akāla
m:a:akālakuṣmāṇḍa
m:a:akālajaladodaya
m:a:akālameghodaya
m:a:akāsāra
m:a:akitava
m:a:akutaścana
m:a:akutaścala
m:a:akumāra
m:a:akumbha
m:a:akula
m:a:akuha
m:a:akuhaka
m:a:akūpāra
m:a:akūrca
m:a:akṛtavraṇa
m:a:akṛṣṭa
m:a:akoṭa
m:a:akopa
m:a:akra
m:a:akrama
m:a:akrūra
m:a:akrodha
m:a:akrodhana
m:a:aklama
m:a:akleśa
m:a:akṣa
m:a:akṣaka
m:a:akṣakarṇa
m:a:akṣakitava
m:a:akṣakṣapaṇa
m:a:akṣaglaha
m:a:akṣacaraṇa
m:a:akṣaja
m:a:akṣata
m:a:akṣatāmaya
m:a:akṣadarśaka
m:a:akṣadāya
m:a:akṣadhara
m:a:akṣadharma
m:a:akṣadhūrta
m:a:akṣadhūrtila
m:a:akṣaparājaya
m:a:akṣapāṭa
m:a:akṣapāṭaka
m:a:akṣapāṭika
m:a:akṣapāta
m:a:akṣapāda
m:a:akṣapīḍa
m:a:akṣabhāga
m:a:akṣabhāra
m:a:akṣamada
m:a:akṣaya
m:a:akṣayaguṇa
m:a:akṣayapuruhūta
m:a:akṣayaloka
m:a:akṣayavaṭa
m:a:akṣara
m:a:akṣarakara
m:a:akṣaracaṇa
m:a:akṣaracana
m:a:akṣarajīvaka
m:a:akṣarajīvika
m:a:akṣaranyāsa
m:a:akṣaramukha
m:a:akṣarasamāmnāya
m:a:akṣarākṣara
m:a:akṣarāja
m:a:akṣavāma
m:a:akṣaśabda
m:a:akṣastuṣa
m:a:akṣāṃsa
m:a:akṣāgrakīla
m:a:akṣāgrakīlaka
m:a:akṣātivāpa
m:a:akṣāvāpa
m:a:akṣika
m:a:akṣigola
m:a:akṣinimeṣa
m:a:akṣipāka
m:a:akṣiba
m:a:akṣibandha
m:a:akṣibheṣaja
m:a:akṣisaṃskāra
m:a:akṣīka
m:a:akṣība
m:a:akṣoṭa
m:a:akṣoḍa
m:a:akṣoḍaka
m:a:akṣobha
m:a:akṣobhya
m:a:akṣobhyatīrtha
m:a:akṣṇayādeśa
m:a:akṣyāmaya
m:a:akhaṭṭa
m:a:akhaṇḍana
m:a:akheṭika
m:a:aga
m:a:agaccha
m:a:agada
m:a:agadaṃkāra
m:a:agadaveda
m:a:agama
m:a:agastya
m:a:agastyacāra
m:a:agastyamārga
m:a:agastyodaya
m:a:agādha
m:a:agāravinoda
m:a:agārastūpa
m:a:agārāvakāśa
m:a:agāvaha
m:a:agira
m:a:aguṇa
m:a:agocara
m:a:agnika
m:a:agnikaṇa
m:a:agnikukkuṭa
m:a:agnikumāra
m:a:agnikoṇa
m:a:agnigarbha
m:a:agnigodāna
m:a:agnigrantha
m:a:agnighaṭa
m:a:agnicaya
m:a:agnicayana
m:a:agnija
m:a:agnijāra
m:a:agnijāla
m:a:agnijvāla
m:a:agnituṇḍa
m:a:agnida
m:a:agnidagdha
m:a:agnidatta
m:a:agnidāyaka
m:a:agnidāha
m:a:agnideva
